SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;3;1,0;RUB;98000184;0;0;TQBR;Т+: Акции и ДР - безадрес.;;02.10.2012;0;0;0;0;2022-07-08;;;закрытие реестра;24500046000.0;24500046000.0;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10;249,723;249,723;124,862;374,585;62,431;437,015;12,486;486,96;50,0;49401;75,0;247005;95,0;9,11000;14,47000;1
ACKO;АСКО ао;АСКО ПАО ао;Акции обыкновенные;RU000A0JXS91;1-01-52065-Z;3;1,0;RUB;536000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.07.2017;0;0;0;0;2020-07-14;;;закрытие реестра;1918880000.0;1918880000.0;"Публичное акционерное общество ""АСКО""";7453297458;100;3,5772;3,5772;0,0;7,1544;0,0;7,1544;0,0;7,1544;100,0;;;;;21,21000;44,08000;1
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;1;0,09;RUB;9650000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2007;1;1;0;0;2021-07-15;0.31;0.0103;закрытие реестра;143128800000.0;143128800000.0;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";7703104630;100;14,93;14,93;7,465;22,395;6,5692;23,2908;5,5241;24,3359;50,0;5975432;56,0;29877160;63,0;10,69000;8,20000;0
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;1;1,0;RUB;3975771215;0;0;TQBR;Т+: Акции и ДР - безадрес.;;13.02.2004;1;1;0;0;2019-07-05;2.6877;0.0244;закрытие реестра;147580627500.8;147580627500.8;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10;37,254;37,254;18,627;55,881;16,392;58,116;13,784;60,724;50,0;2375879;56,0;11879395;63,0;7,25000;13,94000;0
AKRN;Акрон;Акрон ПАО ао;Акции обыкновенные;RU0009028674;1-03-00207-A;2;5,0;RUB;36757156;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.10.2006;0;0;0;0;2022-03-09;;;закрытие реестра;698385964000.0;698385964000.0;"Публичное акционерное общество ""Акрон""";5321029508;1;18958,08;18958,08;0,0;37916,16;0,0;37916,16;0,0;37916,16;100,0;;;;;7,74000;8,64000;1
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акции обыкновенные;RU0007252813;1-03-40046-N;1;0,5;RUB;7364965630;1;0;TQBR;Т+: Акции и ДР - безадрес.;;29.11.2011;1;1;0;0;2021-10-19;8.79;0.0668;закрытие реестра;477176123167.7001;477176123167.7001;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";1433000147;10;64,736;64,736;45,315;84,157;41,431;88,041;36,9;92,572;30,0;4064751;36,0;20323755;43,0;9,38000;6,40000;0
AMEZ;АшинскийМЗ; Ашинский метзавод ПАО ао;Акции обыкновенные;RU000A0B88G6;1-03-45219-D;2;1,0;RUB;498454822;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;0;0;0;0;;;;;38136778431.22;38136778431.22;"Публичное акционерное общество ""Ашинский металлургический завод""";7401000473;100;76,4251;76,4251;0,0;152,8502;0,0;152,8502;0,0;152,8502;100,0;;;;;12,41000;39,34000;1
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акции обыкновенные;RU0008081765;1-01-07335-A;2;0,64;RUB;7630433826;0;0;TQBR;Т+: Акции и ДР - безадрес.;;21.12.2005;0;0;0;0;;;;;94922596795.44;94922596795.44;"Публичное акционерное общество ""Аптечная сеть 36,6""";7722266450;10;12,428;12,428;3,728;21,128;2,486;22,37;0,621;24,235;70,0;733676;80,0;3668380;95,0;4,67000;4,29000;1
AQUA;ИНАРКТИКА;ПАО ИНАРКТИКА;Акции обыкновенные;RU000A0JQTS3;1-01-04461-D;2;100,0;RUB;87876649;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.04.2010;0;0;0;0;2022-12-18;;;закрытие реестра;50045751605.5;50045751605.5;"Публичное  акционерное общество ""ИНАРКТИКА""";7816430057;1;568,868;568,868;381,142;756,594;284,434;853,302;142,217;995,519;33,0;16399;50,0;81995;75,0;11,26000;7,70000;0
ARSA;Арсагера;УК Арсагера ПАО-ао;Акции обыкновенные;RU000A0JP0Q7;1-01-03163-D;3;1,0;RUB;123817165;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.04.2008;0;0;0;0;2021-07-05;;;закрытие реестра;777571796.2;777571796.2;"публичное акционерное общество ""Управляющая компания ""Арсагера""";7840303927;100;6,27303;6,27303;0,0;12,54606;0,0;12,54606;0,0;12,54606;100,0;;;;;7,07000;10,09000;1
ASSB;АстрЭнСб;"""Астраханская ЭСК"" ПАО";Акции обыкновенные;RU000A0D8MM8;1-01-55064-E;3;0,007;RUB;773900078;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.09.2005;0;0;0;0;2020-07-13;;;закрытие реестра;879150488.6079999;879150488.6079999;"Публичное акционерное общество ""Астраханская энергосбытовая компания""";3017041554;1000;1,13474;1,13474;0,0;2,26948;0,0;2,26948;0,0;2,26948;100,0;;;;;11,24000;36,72000;1
AVAN;Авангрд-ао;"АКБ ""АВАНГАРД"" ПАО ао";Акции обыкновенные;RU000A0DM7B3;10102879B;3;10,0;RUB;80700000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.07.2012;0;0;0;0;2023-05-22;;;закрытие реестра (рекомендуемая);85542000000.0;85542000000.0;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";7702021163;1;1053,83;1053,83;0,0;2107,66;0,0;2107,66;0,0;2107,66;100,0;;;;;10,58000;22,96000;1
BANE;Башнефт ао;Башнефть АНК ао;Акции обыкновенные;RU0007976957;1-01-00013-A;3;1,0;RUB;147846489;0;0;TQBR;Т+: Акции и ДР - безадрес.;;18.11.2011;0;0;0;0;2022-07-11;;;закрытие реестра;200627685573.0;234481761211.0;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;1357,0;1357,0;678,5;2035,5;339,25;2374,75;67,85;2646,15;50,0;6250;75,0;31250;95,0;9,68000;8,07000;0
BELU;Белуга ао;Белуга Групп ПАО ао;Акции обыкновенные;RU000A0HL5M1;1-01-55052-E;1;100,0;RUB;15800000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;20.11.2007;1;0;0;0;2023-04-26;;;закрытие реестра;62931400000.0;62931400000.0;"Публичное акционерное общество ""Белуга Групп""";7705634425;1;3987,57;3987,57;1993,79;5981,36;1754,53;6220,61;1475,4;6499,74;50,0;3574;56,0;17870;63,0;9,19000;9,73000;0
BLNG;Белон ао;Белон ОАО ао;Акции обыкновенные;RU000A0J2QG8;1-06-10167-F;3;0,01;RUB;1150000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.01.2009;0;0;0;0;;;;;26933000000.000004;26933000000.000004;"Открытое акционерное общество ""Белон""";5410102823;100;23,394;23,394;0,0;46,788;0,0;46,788;0,0;46,788;100,0;;;;;21,70000;48,77000;1
BRZL;БурЗолото;Бурятзолото ПАО ао;Акции обыкновенные;RU0009288658;1-06-20577-F;3;0,025;RUB;7027270;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.12.2011;0;0;0;0;;;;;8664623910.0;8664623910.0;"Публичное акционерное общество ""Бурятзолото""";0323027345;1;1231,63;1231,63;0,0;2463,26;0,0;2463,26;0,0;2463,26;100,0;;;;;11,38000;11,98000;1
BSPB;БСП ао;"ПАО ""Банк ""Санкт-Петербург"" ао";Акции обыкновенные;RU0009100945;10300436B;1;1,0;RUB;475554232;0;0;TQBR;Т+: Акции и ДР - безадрес.;;19.03.2008;0;0;0;0;2023-05-10;;;закрытие реестра;79893110976.0;80438825976.0;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;10;167,83;167,83;88,95;246,71;60,419;275,241;18,461;317,199;47,0;155618;64,0;778090;89,0;8,36000;16,43000;0
CBOM;МКБ ао;"""МКБ"" ПАО ао";Акции обыкновенные;RU000A0JUG31;10101978B;1;1,0;RUB;33429709866;0;0;TQBR;Т+: Акции и ДР - безадрес.;;22.06.2015;1;1;0;0;2019-06-07;0.11;0.0184;закрытие реестра;219532904690.022;219532904690.022;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;100;6,6846;6,6846;4,0108;9,3584;2,8744;10,4948;1,2032;12,166;40,0;13120769;57,0;65603845;82,0;5,49000;5,57000;0
CHGZ;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акции обыкновенные;RU0009082291;1-01-00185-A;3;0,1;RUB;26771420;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.12.2011;0;0;0;0;;;;;1204713900.0;1204713900.0;"Публичное акционерное общество ""РН-Западная Сибирь""";8620003528;10;44,95;44,95;0,0;89,9;0,0;89,9;0,0;89,9;100,0;;;;;8,89000;10,79000;1
CHKZ;ЧКПЗ ао;"""ЧКПЗ"" ПАО ао";Акции обыкновенные;RU000A0JNST0;1-03-45058-D;3;200,0;RUB;600216;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2008;0;0;0;0;2022-03-21;;;закрытие реестра;7532710800.0;7532710800.0;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";7449006184;1;12486,13;12486,13;0,0;24972,26;0,0;24972,26;0,0;24972,26;100,0;;;;;12,41000;56,28000;1
CHMF;СевСт-ао;Северсталь (ПАО)ао;Акции обыкновенные;RU0009046510;1-02-00143-A;1;0,01;RUB;837718660;1;0;TQBR;Т+: Акции и ДР - безадрес.;;02.06.2005;1;1;0;0;2022-05-31;109.81;0.1126;;799686232836.0;799686232836.0;"Публичное акционерное общество ""Северсталь""";3528000597;1;958,19;958,19;718,64;1197,74;661,15;1255,23;594,08;1322,3;25,0;302859;31,0;1514295;38,0;6,43000;8,25000;0
CHMK;ЧМК ао;"""ЧМК"" ПАО ао";Акции обыкновенные;RU0007665170;1-01-00080-A;3;1,0;RUB;3161965;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2008;0;0;0;0;;;;;18608164025.0;18608164025.0;"Публичное акционерное общество ""Челябинский металлургический комбинат""";7450001007;1;5878,47;5878,47;2939,24;8817,71;1469,62;10287,32;293,92;11463,02;50,0;2081;75,0;10405;95,0;11,16000;24,42000;1
CNTL;Телеграф;"""Центральный Телеграф"" ПАО ао";Акции обыкновенные;RU0007665147;1-03-00327-A;3;1,0;RUB;166167000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2008;0;0;0;0;2022-07-04;;;закрытие реестра;2452624920.0;3170466360.0;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100;14,7436;14,7436;0,0;29,4872;0,0;29,4872;0,0;29,4872;100,0;;;;;12,35000;22,81000;1
DIOD;ЗаводДИОД;Завод ДИОД ПАО ао;Акции обыкновенные;RU000A0JQWC1;1-03-06923-A;3;0,01;RUB;91500000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.06.2010;0;0;0;0;2022-07-04;;;закрытие реестра;1033950000.0000001;1033950000.0000001;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";7725024805;100;11,2875;11,2875;0,0;22,575;0,0;22,575;0,0;22,575;100,0;;;;;8,94000;21,35000;1
DSKY;ДетскийМир;ПАО Детский мир;Акции обыкновенные;RU000A0JSQ90;1-02-00844-A;1;0,0004;RUB;739000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;10.02.2017;1;1;0;0;2021-12-26;5.2;0.0419;закрытие реестра;50207660000.0;50207660000.0;"Публичное акционерное общество ""Детский мир""";7729355029;10;67,96;67,96;33,98;101,94;29,902;106,018;25,145;110,775;50,0;547261;56,0;2736305;63,0;20,83000;11,94000;0
DVEC;ДЭК ао;"""ДЭК"" ПАО ао";Акции обыкновенные;RU000A0JP2W1;1-01-55275-E;3;1,0;RUB;17223107804;0;0;TQBR;Т+: Акции и ДР - безадрес.;;13.12.2007;0;0;0;0;;;;;26144677646.472;26144677646.472;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";2723088770;1000;1,51432;1,51432;0,0;3,02864;0,0;3,02864;0,0;3,02864;100,0;;;;;12,29000;12,52000;1
DZRD;ДонскЗР;Донской завод радиодеталей ао;Акции обыкновенные;RU000A0JQW11;1-01-02677-A;3;1,0;RUB;343407;0;0;TQBR;Т+: Акции и ДР - безадрес.;;30.12.2010;0;0;0;0;2023-06-15;;;закрытие реестра (рекомендуемая);958105530.0;1223673610.0;"Открытое акционерное общество ""Донской завод радиодеталей""";7114001610;1;2786,9;2786,9;0,0;5573,8;0,0;5573,8;0,0;5573,8;100,0;;;;;11,43000;15,60000;1
EELT;ЕвроЭлтех;"""ЕвропЭлектротехника"" ПАО ао";Акции обыкновенные;RU000A0JWW54;1-01-83993-H;3;1,0;RUB;610000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.09.2017;0;0;0;0;2022-10-12;;;закрытие реестра;7429800000.0;7429800000.0;"Публичное акционерное общество ""Европейская Электротехника""";7716814300;10;12,166;12,166;0,0;24,332;0,0;24,332;0,0;24,332;100,0;;;;;7,58000;15,39000;1
ELFV;ЭЛ5Энер ао;"""ЭЛ5-Энерго"" ПАО";Акции обыкновенные;RU000A0F5UN3;1-01-50077-A;1;1,0;RUB;35371898370;0;0;TQBR;Т+: Акции и ДР - безадрес.;;01.12.2014;0;0;0;0;2020-07-09;;;закрытие реестра;19737519290.460003;19737519290.460003;"Публичное акционерное общество ""ЭЛ5-Энерго""";6671156423;1000;0,55738;0,55738;0,37344;0,74132;0,27869;0,83607;0,13935;0,97542;33,0;12227875;50,0;61139375;75,0;9,66000;12,91000;0
ELTZ;Электрцинк;Электроцинк ПАО ао;Акции обыкновенные;RU000A0B66V1;1-02-30394-E;3;1,0;RUB;1404308;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.10.2008;0;0;0;0;;;;;567340432.0;567340432.0;"Публичное акционерное общество ""Электроцинк""";1500000113;1;405,05;405,05;0,0;810,1;0,0;810,1;0,0;810,1;100,0;;;;;17,11000;56,25000;1
FEES;Россети;"""ФСК - Россети"" ПАО";Акции обыкновенные;RU000A0JPNN9;1-01-65018-D;1;0,5;RUB;2113460101477;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.07.2008;1;1;0;0;2021-07-16;0.016132865449;0.0778;закрытие реестра;217263698431.8356;217263698431.8356;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;10000;0,104043;0,104043;0,07283;0,135256;0,066588;0,141498;0,059305;0,148781;30,0;206809375;36,0;1034046875;43,0;10,79000;19,37000;0
FESH;ДВМП ао;ДВ морское пароходство ПАО ао;Акции обыкновенные;RU0008992318;1-03-00032-A;2;1,0;RUB;2951250000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;1;0;0;0;;;;;134045775000.0;134045775000.0;"Публичное акционерное общество ""Дальневосточное морское пароходство""";2540047110;100;45,4295;45,4295;13,6289;77,2302;9,0859;81,7731;2,2715;88,5875;70,0;431644;80,0;2158220;95,0;12,17000;21,78000;0
FLOT;Совкомфлот;Совкомфлот ао;Акции обыкновенные;RU000A0JXNU8;1-01-10613-A;1;1,0;RUB;2374993901;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.10.2020;1;0;0;0;2021-07-05;;;закрытие реестра;134519654552.64;134519654552.64;"Публичное акционерное общество ""Современный коммерческий флот""";7702060116;10;57,38;57,38;38,445;76,315;35,002;79,758;30,985;83,775;33,0;192060;39,0;960300;46,0;8,50000;11,64000;0
GAZA;ГАЗ ао;ГАЗ ПАО ао;Акции обыкновенные;RU0009034268;1-01-00029-A;3;1,0;RUB;18520260;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.12.2011;0;0;0;0;2021-07-19;;;закрытие реестра;11732584710.0;12310350960.0;"Публичное акционерное общество ""ГАЗ""";5200000046;10;632,797;632,797;0,0;1265,594;0,0;1265,594;0,0;1265,594;100,0;;;;;10,16000;22,89000;1
GAZC;ГАЗКОН-ао;ГАЗКОН (ПАО) ао;Акции обыкновенные;RU000A0JQG86;1-01-09870-A;3;10,0;RUB;225381601;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.09.2011;0;0;0;0;2022-12-25;;;закрытие реестра;73925165128.0;73925165128.0;"Публичное акционерное общество ""ГАЗКОН""";7726510759;10;350,865;350,865;0,0;701,73;0,0;701,73;0,0;701,73;100,0;;;;;21,21000;44,08000;1
GAZP;ГАЗПРОМ ао;"""Газпром"" (ПАО) ао";Акции обыкновенные;RU0007661625;1-02-00028-A;1;5,0;RUB;23673512900;1;0;TQBR;Т+: Акции и ДР - безадрес.;;23.01.2006;1;1;0;0;2022-10-11;51.03;0.3131;закрытие реестра;4073974834961.0;4073974834961.0;"Публичное акционерное общество ""Газпром""";7736050003;10;173,321;173,321;138,657;207,985;128,258;218,384;116,125;230,517;20,0;8781586;26,0;43907930;33,0;7,95000;10,42000;0
GAZS;ГАЗ-сервис;ГАЗ-сервис (ПАО) ао;Акции обыкновенные;RU000A0JQG78;1-01-09871-A;3;10,0;RUB;206508967;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.09.2011;0;0;0;0;2022-12-25;;;закрытие реестра;67734941176.0;67734941176.0;"Публичное акционерное общество ""ГАЗ-сервис""";7726510741;10;459,827;459,827;0,0;919,654;0,0;919,654;0,0;919,654;100,0;;;;;21,21000;44,08000;1
GAZT;ГАЗ-Тек ао;ГАЗ-Тек ПАО ао;Акции обыкновенные;RU000A0JS199;1-01-12996-A;3;100,0;RUB;471428300;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.01.2012;0;0;0;0;2022-12-25;;;закрытие реестра;41721404550.0;41721404550.0;"Публичное акционерное общество ""ГАЗ-Тек""";7705821841;10;223,41;223,41;0,0;446,82;0,0;446,82;0,0;446,82;100,0;;;;;31,87000;100,00000;1
GCHE;ЧеркизГ-ао;Группа Черкизово ПАО-ао;Акции обыкновенные;RU000A0JL4R1;1-02-10797-A;3;0,01;RUB;42222042;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.04.2008;0;0;0;0;2021-10-03;;;закрытие реестра;128397229722.0;128397229722.0;"Публичное акционерное общество ""Группа Черкизово""";7718560636;1;3038,12;3038,12;2035,54;4040,7;1519,06;4557,18;759,53;5316,71;33,0;2824;50,0;14120;75,0;7,49000;5,81000;1
GECO;iГЕНЕТИКО;ЦГРМ ГЕНЕТИКО ао;Акции обыкновенные;RU000A105BN4;1-01-87198-H;3;0,01;RUB;83000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;25.04.2023;0;0;0;0;;;;;2672600000.0;2672600000.0;"Публичное акционерное общество ""Центр Генетики и Репродуктивной Медицины ""ГЕНЕТИКО""";9731078633;10;32,164;32,164;0,0;64,328;0,0;64,328;0,0;64,328;100,0;;;;;31,15000;56,49000;1
GEMA;iММЦБ ао;ПАО ММЦБ ао;Акции обыкновенные;RU000A100GC7;1-01-85932-H;3;0,1;RUB;1492992;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;25.07.2019;0;0;0;0;2022-10-17;;;закрытие реестра;1319058432.0;1319058432.0;"Публичное акционерное общество  ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""";7736317497;1;883,52;883,52;0,0;1767,04;0,0;1767,04;0,0;1767,04;100,0;;;;;8,60000;7,10000;1
GMKN;ГМКНорНик;"ГМК ""Нор.Никель"" ПАО ао";Акции обыкновенные;RU0007288411;1-01-40155-F;1;1,0;RUB;152863397;1;0;TQBR;Т+: Акции и ДР - безадрес.;;26.12.2006;1;1;0;0;2022-06-14;1166.22;0.0611;закрытие реестра;2193895473744.0;2193895473744.0;"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""";8401005730;1;14408,46;14408,46;11526,77;17290,15;10662,26;18154,66;9653,67;19163,25;20,0;45702;26,0;228510;33,0;6,43000;6,86000;0
GTRK;ГТМ ао;"ПАО ""ГТМ"" ао";Акции обыкновенные;RU000A0ZYD22;1-01-84907-H;3;100,0;RUB;58462120;0;0;TQBR;Т+: Акции и ДР - безадрес.;;03.11.2017;0;0;0;0;2019-06-30;;;закрытие реестра;4332043092.0;4332043092.0;"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""";9701082537;10;74,068;74,068;37,034;111,102;18,517;129,619;3,703;144,433;50,0;168981;75,0;844905;95,0;10,50000;26,58000;1
